Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Contractual Services,Mileage,330.61,3075
2022,Finance Department,General Fund,Purchasing Agent,Personnel Services,Semi-Monthly/Monthly Overtime,331.64,0
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Contractual Services,Promotional Activities,335.18,1000
2022,Public Works,General Fund,Directors Office Public Works,Contractual Services,Membership Dues & Subscription,336,2550
2022,Public Works,General Fund,Directors Office Public Works,"Materials, Supplies, and Repairs",Food,338.89,2670
2022,The Department of Parks & Recreation (P&R),General Fund,Director¿s Office,"Materials, Supplies, and Repairs",Supplies-Office,339.71,2000
2022,Zoological Park,General Fund,Operations,"Materials, Supplies, and Repairs",Repairs-Streets & Sidewalks,340,2000
2022,Police,General Fund,Detective,"Materials, Supplies, and Repairs",Books-Under $1000,340.34,300
2022,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Temp Services-Laborer/Industrl,341.79,341
2022,Police,General Fund,Anti-Crime Division,"Materials, Supplies, and Repairs",Food,342.61,325
2022,Police,General Fund,First Patrol,Contractual Services,Membership Dues & Subscription,343.21,340
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,343.57,650
2022,Zoological Park,General Fund,Horticulture Services,"Materials, Supplies, and Repairs",Food,346.38,500
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,"Materials, Supplies, and Repairs",Supplies-Program,347.77,0
2022,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Membership Dues & Subscription,349,560
2022,General Services,General Fund,Animal Care Center,Contractual Services,Traveling Expense,350.4,1636
2022,Commonwealths Attorney,Gen Fixed Assets Group Of Acct,ASSET FORFEITURE - ATTORNEY,Contractual Services,Depr-System Account,350.65,0
2022,Public Works,General Fund,Right of Way,Contractual Services,Membership Dues & Subscription,353,0
2022,Planning and Community Development,General Fund,Division of Codes Administration,"Materials, Supplies, and Repairs",Repairs-Auto,358.07,600
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Personnel Services,Special Pay & Allowances,358.27,0
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,359.36,1000
2022,Emergency Preparedness and Response,EOC-911,Services-Civil Emergency,Contractual Services,Membership Dues & Subscription,360,208
2022,Police,General Fund,Criminal Intelligence,Contractual Services,Investigative Services,360,2000
2022,Zoological Park,General Fund,Operations,"Materials, Supplies, and Repairs",Chemicals,360.54,500
2022,Public Health,General Fund,Vector Control,Personnel Services,Semi-Monthly/Monthly Overtime,364.11,0
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Contractual Services,Membership Dues & Subscription,365,155
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Contractual Services,Traveling Expense,365.91,6157
2022,Norfolk Community Services Board,Community Services Board,Youth Outpatient,"Materials, Supplies, and Repairs",Supplies-Office,367.84,507
2022,Human Services,General Fund,Social Services,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,367.86,1450
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Contractual Services,Temp Services-Admin/Clerical,371.16,0
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,"Materials, Supplies, and Repairs",Small Tools,371.8,1800
2022,The National Maritime Center,Maritime Center,USS Wisconsin,Personnel Services,Retirement Expense (Vsrs Emp),372.08,0
2022,Public Works,General Fund,Right of Way,"Materials, Supplies, and Repairs",Supplies-Office,372.26,1125
2022,Police,General Fund,Public Safety Financial Management,Contractual Services,Employee Training Expense,375,3000
2022,Human Services,General Fund,Local Only Programs,Equipment,Equip-Office & Household,375.83,0
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,"Materials, Supplies, and Repairs",Supplies-Office,378.46,3260
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Supplies-Automotive Parts,382.44,3000
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Public Assistance,Client Exp-Personal Items,382.49,1123
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Contractual Services,Employee Training Expense,396,0
2022,Slover Library,General Fund,Slover Library,Contractual Services,Service Charge Credit Cards,404.55,1500
2022,Norfolk Community Services Board,Community Services Board,Drug Court,Contractual Services,Other Contractual Services,411,0
2022,City Attorney,General Fund,City Attorney,Contractual Services,Parking Validations,411.5,2700
2022,Zoological Park,General Fund,Veterinary & Wellness Campus,"Materials, Supplies, and Repairs",Supplies-Office,413.88,1000
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,"Materials, Supplies, and Repairs",Supplies-Office,414.73,1935
2022,Police,General Fund,Special Enforcement Division,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,419.75,500
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,429.42,5000
2022,Human Services,General Fund,Ysb - Secure Detention,Contractual Services,Membership Dues & Subscription,430,900
2022,Fire-Rescue,General Fund,Operations,"Materials, Supplies, and Repairs",Supplies-Office,438.43,1500
2022,Norfolk Community Services Board,Community Services Board,Behavioral Health Outpatient Services,"Materials, Supplies, and Repairs",Supplies-Program,441.13,0
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Supplies-Agricultural,443.75,750
2022,Police,General Fund,Office of Professional Standards,Contractual Services,Traveling Expense,444.82,1850
2022,Public Works,General Fund,Right of Way,Contractual Services,Other Contractual Services,449.5,293
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,Contractual Services,Membership Dues & Subscription,450,2000
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Contractual Services,Membership Dues & Subscription,450,0
2022,Public Works,General Fund,Surveys,Contractual Services,Membership Dues & Subscription,450,500
2022,The National Maritime Center,Maritime Center,Visitors Services,"Materials, Supplies, and Repairs",Computer Software-Under $1000,454.12,1200
2022,Norfolk Community Services Board,Community Services Board,Bayview Group Home,Contractual Services,Water & Sewage Disposal,455.58,2550
2022,Public Health,General Fund,Vector Control,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,455.61,8500
2022,Public Works,General Fund,Bureau Of Design,Contractual Services,Other Contractual Services,459.99,872
2022,Water,Water Utility Fund,Division Of Water Quality,Contractual Services,Telephone,461.29,900
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,463.79,500
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,"Materials, Supplies, and Repairs",Supplies-Automotive Parts,467.96,15000
2022,Planning and Community Development,General Fund,Planning & Community Developement,Contractual Services,Parking Validations,469,1300
2022,Public Works,General Fund,Bureau Of Design,"Materials, Supplies, and Repairs",Supplies-Printing & Reproductn,472.28,3000
2022,Finance Department,General Fund,Retirement,Contractual Services,Employee Training Expense,478,2300
2022,Police,General Fund,Animal Protection,Contractual Services,Membership Dues & Subscription,480.99,240
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Personnel Services,Employee Parking Supplement,481,1916
2022,The Department of Parks & Recreation (P&R),General Fund,Youth Development,Contractual Services,Nonmonetary Awardsrd Pap,488.88,1500
2022,Police,General Fund,Criminal Intelligence,Contractual Services,Other Contractual Services,489,1680
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Food,493.35,500
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,493.55,1085
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Equipment,Equip-Software-Over $1000,496,2000
2022,Norfolk Community Services Board,Community Services Board,Emergency Services,Contractual Services,Telephone,496,0
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Membership Dues & Subscription,499.2,20000
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,Contractual Services,Membership Dues & Subscription,501,1069
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,"Materials, Supplies, and Repairs",Food,505.5,1150
2022,Clerk of the Circuit Court,General Fund,Clerk Of Circuit Court,Personnel Services,Semi-Monthly/Monthly Overtime,507.86,0
2022,Transportation,General Fund,Transportation,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,509,2400
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Equipment,Equip-Office & Household,517.86,2000
2022,Police,Gen Fixed Assets Group Of Acct,Edward Byrne Memorial Justice Assistance Grant,Contractual Services,Depr-System Account,520.69,0
2022,Human Services,General Fund,Local Only Programs,Personnel Services,Semi-Monthly/Monthly Overtime,522.84,0
2022,Police,General Fund,Honor Guard,"Materials, Supplies, and Repairs",Supplies-Police,530,176
2022,Public Works,General Fund,Directors Office Public Works,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,539.4,100
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,Membership Dues & Subscription,541.75,562
2022,Human Resources,General Fund,Director Of Human Resources,Contractual Services,Parking Validations,542.5,8800
2022,General Services,General Fund,Director's Office General Services,Personnel Services,Semi-Monthly/Monthly Overtime,542.74,0
2022,City Manager,General Fund,City Manager,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,544,543
2022,General Services,General Fund,Director's Office General Services,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,544,543
2022,Norfolk Community Services Board,Community Services Board,Mental Health Services Admin,Personnel Services,Temporary/Casual Employment,544.18,0
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,"Materials, Supplies, and Repairs",Supplies-Office,544.87,2977
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Personnel Services,Group Life Insurance Perm,546.45,597
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,Personnel Services,Retirement Expense (Vsrs Emp),547.3,0
2022,Libraries,General Fund,Administrative Support,Contractual Services,Refuse & Garbage Disposal,548.13,800
2022,Transportation,General Fund,Right of Way,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,549.98,550
2022,The National Maritime Center,Maritime Center,USS Wisconsin,Personnel Services,Group Life Insurance Perm,550.61,1028
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",552.27,0
2022,General Services,General Fund,Office of Real Estate Management,Personnel Services,Semi-Monthly/Monthly,554.86,0
,,,,,,,
2022,Slover Library,General Fund,Slover Library,"Materials, Supplies, and Repairs",Food,566.16,2000
